City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
104,Saint-Augustin,CA,2019-11-10 06:35:06,45.63,-73.98,37.0,59,90,11.41,overcast clouds,0.0,0.0
105,Luwingu,ZM,2019-11-10 06:35:06,-10.26,29.92,79.27,43,83,9.84,broken clouds,0.0,0.0
106,Sabang,PH,2019-11-10 06:35:06,13.8,121.11,84.99,80,85,1.99,light rain,1.06,0.0
107,Guerrero Negro,MX,2019-11-10 06:35:07,27.97,-114.04,69.4,68,99,11.41,overcast clouds,0.0,0.0
108,Alofi,NU,2019-11-10 06:35:07,-19.06,-169.92,78.8,74,2,10.29,clear sky,0.0,0.0
109,Hermanus,ZA,2019-11-10 06:35:07,-34.42,19.24,66.99,77,78,15.99,broken clouds,0.0,0.0
110,Vaini,IN,2019-11-10 06:35:07,15.34,74.49,84.2,51,20,10.29,few clouds,0.0,0.0
111,Hami,CN,2019-11-10 06:35:07,42.84,93.51,48.67,18,0,3.0,clear sky,0.0,0.0
112,Komsomolskiy,RU,2019-11-10 06:35:08,67.55,63.78,-6.07,100,51,4.7,broken clouds,0.0,0.0
113,Freeport,BS,2019-11-10 06:31:21,26.54,-78.7,73.76,71,0,16.69,clear sky,0.0,0.0
114,Kutum,SD,2019-11-10 06:35:08,14.2,24.66,70.12,20,84,6.35,broken clouds,0.0,0.0
115,Dikson,RU,2019-11-10 06:35:08,73.51,80.55,21.69,94,100,18.86,light snow,0.0,0.75
116,Clyde River,CA,2019-11-10 06:35:09,70.47,-68.59,15.8,92,90,35.57,light snow,0.0,0.0
117,Klyuchi,RU,2019-11-10 06:35:09,52.25,79.17,27.12,49,100,14.0,overcast clouds,0.0,0.0
118,Barrhead,CA,2019-11-10 06:32:55,54.12,-114.4,8.6,92,90,6.93,light snow,0.0,0.0
119,Bafoulabe,ML,2019-11-10 06:35:09,13.81,-10.83,80.58,30,68,2.24,broken clouds,0.0,0.0
120,Mar Del Plata,AR,2019-11-10 06:32:50,-46.43,-67.52,47.73,71,99,16.44,overcast clouds,0.0,0.0
121,Jamestown,AU,2019-11-10 06:35:10,-33.21,138.6,75.81,13,0,9.84,clear sky,0.0,0.0
122,Moree,AU,2019-11-10 06:35:10,-29.46,149.84,82.4,13,0,20.8,clear sky,0.0,0.0
123,Saint George,GR,2019-11-10 06:35:10,39.45,22.34,55.4,100,75,1.45,light rain,0.0,0.0
124,Dubrovytsya,UA,2019-11-10 06:35:10,51.57,26.57,48.33,94,61,7.0,broken clouds,0.0,0.0
125,Salalah,OM,2019-11-10 06:35:11,17.01,54.1,82.4,58,20,9.17,few clouds,0.0,0.0
126,Bredasdorp,ZA,2019-11-10 06:35:11,-34.53,20.04,66.99,77,97,18.34,overcast clouds,0.0,0.0
127,Pavlogradka,RU,2019-11-10 06:35:11,54.2,73.56,19.63,58,0,7.38,clear sky,0.0,0.0
128,Toora-Khem,RU,2019-11-10 06:35:11,52.47,96.11,17.1,56,100,3.31,overcast clouds,0.0,0.0
129,Portland,US,2019-11-10 06:31:12,43.66,-70.25,37.0,59,1,8.05,clear sky,0.0,0.0
130,Bystrzyca Klodzka,PL,2019-11-10 06:35:12,50.3,16.64,37.0,92,14,1.45,few clouds,0.0,0.0
131,Puerto Ayora,EC,2019-11-10 06:35:12,-0.74,-90.35,69.01,89,16,5.01,few clouds,0.0,0.0
132,Lebu,ET,2019-11-10 06:35:12,8.96,38.73,64.4,45,4,4.7,clear sky,0.0,0.0
133,Weyburn,CA,2019-11-10 06:35:12,49.67,-103.85,12.99,75,99,11.01,overcast clouds,0.0,0.06
134,Safford,US,2019-11-10 06:35:13,32.83,-109.71,62.6,51,1,6.93,clear sky,0.0,0.0
135,Mukhen,RU,2019-11-10 06:35:13,48.19,136.14,33.58,47,0,6.44,clear sky,0.0,0.0
136,Larsnes,NO,2019-11-10 06:35:13,62.2,5.58,34.0,68,0,16.11,clear sky,0.0,0.0
137,Kocevje,SI,2019-11-10 06:35:13,45.64,14.86,50.0,87,90,3.36,overcast clouds,0.0,0.0
138,Calama,CL,2019-11-10 06:35:13,-22.46,-68.93,48.2,18,32,20.8,scattered clouds,0.0,0.0
139,Arona,IT,2019-11-10 06:35:14,45.76,8.56,45.0,93,75,3.36,broken clouds,0.0,0.0
140,Hun,BE,2019-11-10 06:35:14,50.34,4.87,35.6,93,85,6.93,overcast clouds,0.0,0.0
141,Yerofey Pavlovich,RU,2019-11-10 06:35:14,53.97,121.97,14.45,92,100,5.77,light snow,0.0,1.19
142,Thompson,CA,2019-11-10 06:33:57,55.74,-97.86,-5.81,76,75,10.29,broken clouds,0.0,0.0
143,Sesvete,HR,2019-11-10 06:35:15,45.83,16.11,45.0,87,90,4.7,light rain,0.0,0.0
144,Sao Filipe,CV,2019-11-10 06:35:15,14.9,-24.5,74.25,82,92,15.68,overcast clouds,0.0,0.0
145,Saint-Denis,FR,2019-11-10 06:35:15,48.94,2.36,43.0,87,90,6.93,light intensity drizzle rain,0.0,0.0
146,Touros,BR,2019-11-10 06:35:15,-5.2,-35.46,75.2,88,40,4.7,scattered clouds,0.0,0.0
147,Boffa,GN,2019-11-10 06:35:16,10.18,-14.04,77.41,90,16,4.68,light rain,0.75,0.0
148,El Alto,BO,2019-11-10 06:35:16,-16.5,-68.19,42.8,87,75,8.05,broken clouds,0.0,0.0
149,Lambarene,GA,2019-11-10 06:35:16,-0.7,10.22,75.88,95,100,0.76,overcast clouds,0.0,0.0
150,Strathpeffer,GB,2019-11-10 06:35:16,57.59,-4.54,33.01,100,20,4.7,few clouds,0.0,0.0
151,Winnemucca,US,2019-11-10 06:35:16,40.97,-117.74,39.0,36,1,4.7,clear sky,0.0,0.0
